9.057993292808532715e-01 3.205389678478240967e-01 9.781650304794311523e-01 6.688623875379562378e-02 8.076633930206298828e+00
9.669806957244873047e-01 1.109574660658836365e-01 9.851762652397155762e-01 4.746911302208900452e-02 1.542490243911743164e+00
9.737406969070434570e-01 8.712296932935714722e-02 9.856771826744079590e-01 4.073023051023483276e-02 1.544450998306274414e+00
9.749091863632202148e-01 8.109099417924880981e-02 9.817707538604736328e-01 5.591669678688049316e-02 1.554715394973754883e+00
9.775298237800598145e-01 7.313664257526397705e-02 9.866787791252136230e-01 3.827643394470214844e-02 1.545374155044555664e+00
9.787318110466003418e-01 7.258028537034988403e-02 9.898840188980102539e-01 3.115183487534523010e-02 1.548322439193725586e+00
9.795328378677368164e-01 6.740427017211914062e-02 9.889824986457824707e-01 3.334642946720123291e-02 1.547189950942993164e+00
9.818198084831237793e-01 6.006561964750289917e-02 9.876803159713745117e-01 4.122957587242126465e-02 1.544176340103149414e+00
9.797165989875793457e-01 6.748152524232864380e-02 9.874799847602844238e-01 3.804865479469299316e-02 1.550388813018798828e+00
9.809182882308959961e-01 6.032061204314231873e-02 9.901843667030334473e-01 3.375049307942390442e-02 1.543852329254150391e+00
9.818699359893798828e-01 5.914369225502014160e-02 9.884817004203796387e-01 3.782365843653678894e-02 1.544067382812500000e+00
9.818030595779418945e-01 5.990279093384742737e-02 9.868791699409484863e-01 4.196286946535110474e-02 1.718991279602050781e+00
9.818533658981323242e-01 5.902030691504478455e-02 9.909856915473937988e-01 3.037771955132484436e-02 1.544282197952270508e+00
9.826876521110534668e-01 5.675600841641426086e-02 9.891827702522277832e-01 3.665920719504356384e-02 1.548117160797119141e+00
9.838228821754455566e-01 5.257410183548927307e-02 9.878806471824645996e-01 4.436019808053970337e-02 1.546492338180541992e+00
9.825708866119384766e-01 5.674939230084419250e-02 9.895833730697631836e-01 3.639199584722518921e-02 1.549351453781127930e+00
